target,forecast_year,point_forecast,lower_95,upper_95,historical_last_value,historical_mean,model,baseline_model,validation_mae,baseline_mae,improvement_percent
Total Built-Up Area (km²),2026,270.32,250.02,290.62,259.21,209.31,OLS Linear Trend Extrapolation,Naive Persistence,8.07,14.44,44.1
Strong Built-Up Core (km²),2026,70.31,64.75,75.87,69.01,50.98,OLS Linear Trend Extrapolation,Naive Persistence,3.1,4.97,37.6
