cell_id,longitude,latitude,stress_score,urbanization_component,vegetation_component,water_component,evidence_strength,stress_quartile,rank,mandal,nearest_place,nearest_place_distance_km
C_054_053,78.679887,13.292506,0.5672,0.835,0.779,0.0878,High (Multi-Source Convergence),Q4: Higher Relative Stress,34,Peddapanjani,N/A (Requires Authoritative Settlement Gazetteer),
C_064_056,78.706837,13.202674,0.565,0.5015,0.9609,0.2325,High (Multi-Source Convergence),Q4: Higher Relative Stress,35,Gangavaram,N/A (Requires Authoritative Settlement Gazetteer),
C_044_169,79.728042,13.382338,0.5643,0.2351,0.4579,1.0,High (Multi-Source Convergence),Q4: Higher Relative Stress,36,Pichatur,N/A (Requires Authoritative Settlement Gazetteer),
C_063_058,78.724803,13.211658,0.5636,0.7102,0.689,0.2915,High (Multi-Source Convergence),Q4: Higher Relative Stress,37,Gangavaram,N/A (Requires Authoritative Settlement Gazetteer),
C_047_168,79.719059,13.355388,0.5633,0.3948,0.6859,0.6091,High (Multi-Source Convergence),Q4: Higher Relative Stress,38,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
C_050_166,79.701092,13.328439,0.563,0.3541,0.3758,0.9592,High (Multi-Source Convergence),Q4: Higher Relative Stress,39,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
C_051_169,79.728042,13.319455,0.5628,0.3196,0.561,0.8079,High (Multi-Source Convergence),Q4: Higher Relative Stress,40,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
C_037_053,78.679887,13.44522,0.5622,0.4605,0.6621,0.5639,High (Multi-Source Convergence),Q4: Higher Relative Stress,41,Chowdepalle,N/A (Requires Authoritative Settlement Gazetteer),
C_062_059,78.733786,13.220641,0.5605,0.6608,0.7985,0.222,High (Multi-Source Convergence),Q4: Higher Relative Stress,42,Gangavaram,N/A (Requires Authoritative Settlement Gazetteer),
C_049_165,79.692109,13.337422,0.5601,0.2367,0.4437,1.0,High (Multi-Source Convergence),Q4: Higher Relative Stress,43,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
C_087_030,78.473275,12.996062,0.5599,0.6788,0.8099,0.191,High (Multi-Source Convergence),Q4: Higher Relative Stress,44,Venkatagirikota,N/A (Requires Authoritative Settlement Gazetteer),
C_064_063,78.769719,13.202674,0.5592,0.6994,0.9344,0.0439,High (Multi-Source Convergence),Q4: Higher Relative Stress,45,Palamaner,N/A (Requires Authoritative Settlement Gazetteer),
C_114_005,78.248696,12.753517,0.5587,0.6519,1.0,0.0242,High (Multi-Source Convergence),Q4: Higher Relative Stress,46,Gudupalle,N/A (Requires Authoritative Settlement Gazetteer),
C_048_166,79.701092,13.346405,0.5587,0.2954,0.3807,1.0,High (Multi-Source Convergence),Q4: Higher Relative Stress,47,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
C_050_167,79.710075,13.328439,0.5555,0.3596,0.6287,0.6782,High (Multi-Source Convergence),Q4: Higher Relative Stress,48,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
C_051_034,78.509207,13.319455,0.5549,0.5563,1.0,0.1084,High (Multi-Source Convergence),Q4: Higher Relative Stress,49,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
C_055_053,78.679887,13.283523,0.5543,0.6152,0.9356,0.112,High (Multi-Source Convergence),Q4: Higher Relative Stress,50,Peddapanjani,N/A (Requires Authoritative Settlement Gazetteer),
C_067_055,78.697854,13.175725,0.5517,0.5023,0.7932,0.3596,High (Multi-Source Convergence),Q4: Higher Relative Stress,51,Palamaner,N/A (Requires Authoritative Settlement Gazetteer),
C_038_167,79.710075,13.436236,0.5514,0.1555,0.4986,1.0,Moderate (Compound Moisture/Vegetation Stress),Q4: Higher Relative Stress,52,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
C_051_036,78.527174,13.319455,0.5502,0.5889,1.0,0.0616,High (Multi-Source Convergence),Q4: Higher Relative Stress,53,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
C_035_065,78.787685,13.463186,0.5495,0.6172,1.0,0.0314,High (Multi-Source Convergence),Q4: Higher Relative Stress,54,Somala,N/A (Requires Authoritative Settlement Gazetteer),
C_042_070,78.832601,13.400304,0.5491,0.5006,0.9776,0.169,Moderate (Same-Sensor Spectral Agreement),Q4: Higher Relative Stress,55,Somala,N/A (Requires Authoritative Settlement Gazetteer),
C_063_060,78.742769,13.211658,0.5485,0.7094,0.6913,0.2446,High (Multi-Source Convergence),Q4: Higher Relative Stress,56,Gangavaram,N/A (Requires Authoritative Settlement Gazetteer),
C_066_060,78.742769,13.184708,0.5485,0.7064,0.8557,0.0832,High (Multi-Source Convergence),Q4: Higher Relative Stress,57,Palamaner,N/A (Requires Authoritative Settlement Gazetteer),
C_050_168,79.719059,13.328439,0.5484,0.2597,0.4727,0.9127,High (Multi-Source Convergence),Q4: Higher Relative Stress,58,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
C_042_069,78.823618,13.400304,0.5483,0.5641,0.723,0.3579,High (Multi-Source Convergence),Q4: Higher Relative Stress,59,Somala,N/A (Requires Authoritative Settlement Gazetteer),
C_046_168,79.719059,13.364371,0.5483,0.225,0.5229,0.897,High (Multi-Source Convergence),Q4: Higher Relative Stress,60,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
C_043_039,78.554123,13.391321,0.5472,0.6806,0.8475,0.1136,High (Multi-Source Convergence),Q4: Higher Relative Stress,61,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
